"var","etiqueta"
"MdeoInt","Región (cadena)"
"Categoria","Categoría de escuela"
"SECTOR","Sector al que pertenece la escuela"
"ContextoANEP","Contexto socioeconómico y cultural del centro, definido por la ANEP"
"ESCS_Centro_cat","Contexto socioeconómico y cultural centro en 5 categorías"
"Concurre","Asistencia a clase reportada por el referente del grupo"
"EDAD","Edad del alumno (registro administrativo)"
"AlumnoGenero","Sexo del alumno (registro administrativo)"
"extraedad","Años de extraedad del alumno"
"ESCS_Alumno_cat","Estatus socioeconómico y cultural del estudiante en 5 categorías"
"Niveles_LEN","Nivel de desempeño en lectura"
"Niveles_MAT","Nivel de desempeño en matemática"
"Motivación_y_autorregulación","Dimension: Motivación_y_autorregulación"
"Habilidades_interpersonales","Dimension: Habilidades_interpersonales"
"Habilidades_intrapersonales","Dimension: Habilidades_intrapersonales"
